title,publishedAt,viewCount,likeCount,commentCount,duration
𝐌𝐀𝐑𝐊 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 There is a driveway in your room,2022-01-27T13:00:12Z,1742423,165014,3413,2440
𝐓𝐀𝐄𝐘𝐎𝐍𝐆 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 우리 오늘 뭐해? Chill~,2022-01-27T11:00:35Z,767744,81838,1761,3209
𝐓𝐀𝐄𝐈𝐋 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 다 괜찮아,2022-01-27T09:00:14Z,490495,45702,1338,2620
𝐉𝐀𝐄𝐇𝐘𝐔𝐍 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 주말 낮잠,2022-01-27T07:00:01Z,1447022,130428,1970,50
𝐉𝐔𝐍𝐆𝐖𝐎𝐎 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 기분 정환 하세용~💚,2022-01-27T05:00:05Z,656370,54945,1628,3050
"𝐃𝐎𝐘𝐎𝐔𝐍𝐆 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 더 자도 되는데 많이 자서 잠이 안 오는, 그런 기분 좋은…",2022-01-27T03:00:02Z,885329,72727,1997,3436
𝐉𝐎𝐇𝐍𝐍𝐘 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 일어나쟈,2022-01-27T01:00:04Z,520669,50648,1166,2885
𝐘𝐔𝐓𝐀 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 마음을 담아서,2022-01-26T23:00:35Z,742879,81417,2714,3129
"𝐇𝐀𝐄𝐂𝐇𝐀𝐍 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 새벽이라서, 함께",2022-01-26T16:00:14Z,1937907,203404,7069,3867
Making 𝟏𝟐𝟕 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭🎧 #HAPPY127DAY,2022-01-26T15:00:20Z,737246,127090,3880,1862
[스페셜 라이브] 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2022-01-05T13:25:28Z,1039864,95014,976,3966
2022 SM ARTIST SEASON’S GREETINGS #NCT127,2021-12-31T09:00:12Z,302004,42147,899,1061
Ep 8. 소무의도의 추억 | 아날로그 트립 (Analog Trip NCT 127: Escape from Magic Island),2021-12-17T14:00:13Z,956411,93916,2198,1530
보너스 영상 #4 | 아날로그 트립 (Analog Trip NCT 127: Escape From Magic Island),2021-12-11T14:00:14Z,434534,49869,1046,637
